Assay,SampleID,ColonyID,Site,Colony,rep,TimePoint,PercentN,PercentC,CN_mass_mg
CG_CN,YM11-3-I,YM11,YM,11,3,I,10.06899548,53.76563644,0.471
CG_CN,YM10-1-I,YM10,YM,10,1,I,9.613933563,53.53911209,0.315
CG_CN,YM10-2-I,YM10,YM,10,2,I,4.013543129,23.6333046,0.526
CG_CN,YM5-1-I,YM5,YM,5,1,I,8.434394836,56.22041702,0.387
CG_CN,YM5-2-I,YM5,YM,5,2,I,9.101624489,53.65420532,0.286
CG_CN,YM5-3-I,YM5,YM,5,3,I,9.737228394,54.42346191,0.436
CG_CN,YM4-1-I,YM4,YM,4,1,I,9.123169899,54.59606171,0.337
CG_CN,YM4-2-I,YM4,YM,4,2,I,9.882419586,53.54807663,0.378
CG_CN,YM4-3-I,YM4,YM,4,3,I,5.224787235,31.06270218,0.305
CG_CN,YM13-1-I,YM13,YM,13,1,I,9.508040428,55.36885071,0.436
CG_CN,YM13-2-I,YM13,YM,13,2,I,8.660599709,56.31824875,0.476
CG_CN,YM13-3-I,YM13,YM,13,3,I,9.491584778,54.00905609,0.369
CG_CN,YM7-1-I,YM7,YM,7,1,I,9.752269745,53.04126358,0.346
CG_CN,YM7-2-I,YM7,YM,7,2,I,9.421953201,53.4547081,0.403
CG_CN,YM7-3-I,YM7,YM,7,3,I,9.555281639,52.64443588,0.329
CG_CN,YM8-1-I,YM8,YM,8,1,I,9.440377235,51.96746063,0.203
CG_CN,YM8-2-I,YM8,YM,8,2,I,7.997960091,54.5937767,0.23
CG_CN,YM8-3-I,YM8,YM,8,3,I,10.37495041,52.30907059,0.263
CG_CN,YM9-1-I,YM9,YM,9,1,I,10.33057499,53.70018768,0.437
CG_CN,YM9-2-I,YM9,YM,9,2,I,9.873696327,55.36010742,0.499
CG_CN,YM9-3-I,YM9,YM,9,3,I,9.74375248,53.75030518,0.467
CG_CN,YM6-1-I,YM6,YM,6,1,I,11.1699028,50.6957283,0.342
CG_CN,YM6-2-I,YM6,YM,6,2,I,10.86328793,49.40601349,0.3
CG_CN,YM6-3-I,YM6,YM,6,3,I,9.99443531,52.41841125,0.343
CG_CN,YM12-1-I,YM12,YM,12,1,I,8.903749466,55.98323822,0.543
CG_CN,YM12-2-I,YM12,YM,12,2,I,9.219306946,55.16216278,0.585
CG_CN,YM12-3-I,YM12,YM,12,3,I,9.623439789,54.4510498,0.455
CG_CN,NSP8-1-F,NSP8,NSP,8,1,F,8.896280289,55.3692131,0.235
CG_CN,NSP15-1-F,NSP15,NSP,15,1,F,7.083795547,60.20477676,0.319
CG_CN,NSP15-2-F,NSP15,NSP,15,2,F,7.423630238,59.46531296,0.361
CG_CN,NSP15-3-F,NSP15,NSP,15,3,F,6.477721214,61.67477417,0.619
CG_CN,NSP7-1-I,NSP7,NSP,7,1,I,10.06706619,55.00399399,0.466
CG_CN,YM8-1-F,YM8,YM,8,1,F,6.790519714,59.7010994,0.369
CG_CN,YM8-2-F,YM8,YM,8,2,F,5.907526016,61.9715004,0.363
CG_CN,YM8-3-F,YM8,YM,8,3,F,6.975261688,59.35741806,0.4
CG_CN,YM12-1-F,YM12,YM,12,1,F,7.698630333,58.78385544,0.415
CG_CN,YM12-2-F,YM12,YM,12,2,F,7.005650043,59.34477615,0.241
CG_CN,YM12-3-F,YM12,YM,12,3,F,6.689011097,59.50926971,0.352
CG_CN,YM13-1-F,YM13,YM,13,1,F,9.260614395,53.1153183,0.192
CG_CN,YM13-2-F,YM13,YM,13,2,F,8.411607742,57.68520737,0.226
CG_CN,YM13-3-F,YM13,YM,13,3,F,6.239140034,59.63338089,0.278
CG_CN,YM10-1-F,YM10,YM,10,1,F,5.898234844,63.34606934,1.013
CG_CN,YM11-1-F,YM11,YM,11,1,F,6.209902763,62.57348633,0.505
CG_CN,YM11-2-F,YM11,YM,11,2,F,7.811230659,60.18676758,0.369
CG_CN,YM11-3-F,YM11,YM,11,3,F,7.111968517,61.49288177,0.513
CG_CN,YM9-1-F,YM9,YM,9,1,F,7.641997814,58.26641083,0.52
CG_CN,YM9-2-F,YM9,YM,9,2,F,6.980195999,61.96173096,0.537
CG_CN,YM9-3-F,YM9,YM,9,3,F,6.233577728,62.86746979,0.582
CG_CN,YM7-1-F,YM7,YM,7,1,F,5.110719204,64.29480743,0.384
CG_CN,YM7-2-F,YM7,YM,7,2,F,6.273280144,60.65540695,0.437
CG_CN,YM7-3-F,YM7,YM,7,3,F,7.179917336,60.28163147,0.511
CG_CN,NSP4-1-F,NSP4,NSP,4,1,F,7.14577198,59.67128754,0.474
CG_CN,NSP4-2-F,NSP4,NSP,4,2,F,7.365236759,59.54388809,0.415
CG_CN,NSP4-3-F,NSP4,NSP,4,3,F,7.400210381,57.19358063,0.412
CG_CN,NSP7-1-F,NSP7,NSP,7,1,F,7.064302444,60.46323013,0.449
CG_CN,NSP7-2-F,NSP7,NSP,7,2,F,6.157045364,61.4249382,0.511
CG_CN,NSP7-3-F,NSP7,NSP,7,3,F,6.574140072,61.93004227,0.493
CG_CN,NSP3-1-F,NSP3,NSP,3,1,F,7.096158028,58.45895767,0.317
CG_CN,NSP3-2-F,NSP3,NSP,3,2,F,5.589482307,65.19766235,1.085
CG_CN,NSP3-3-F,NSP3,NSP,3,3,F,7.117656231,59.91790771,0.356
CG_CN,NSP10-1-F,NSP10,NSP,10,1,F,7.045760155,61.25644302,0.456
CG_CN,NSP10-2-F,NSP10,NSP,10,2,F,7.759836674,60.62561798,0.453
CG_CN,NSP10-3-F,NSP10,NSP,10,3,F,7.702740669,60.55884933,0.468
