"","Assay.x","SampleID","ColonyID","Site","Colony","rep","TimePoint","PercentN","PercentC","CN_mass_mg","Assay.y","Peak_Concentration_mgP.L","P_mass_mg"
"74","CG_CN","YM11-1-F","YM11","YM","11",1,"F",6.209902763,62.57348633,0.505,"CG_P",0.308,0.63
"75","CG_CN","YM11-2-F","YM11","YM","11",2,"F",7.811230659,60.18676758,0.369,"CG_P",0.249,0.511
"76","CG_CN","YM11-3-F","YM11","YM","11",3,"F",7.111968517,61.49288177,0.513,"CG_P",0.326,0.69
"77","CG_CN","YM9-1-F","YM9","YM","9",1,"F",7.641997814,58.26641083,0.52,"CG_P",0.229,0.347
"78","CG_CN","YM9-2-F","YM9","YM","9",2,"F",6.980195999,61.96173096,0.537,"CG_P",0.206,0.331
"79","CG_CN","YM9-3-F","YM9","YM","9",3,"F",6.233577728,62.86746979,0.582,"CG_P",0.22,0.396
"80","CG_CN","YM7-1-F","YM7","YM","7",1,"F",5.110719204,64.29480743,0.384,"CG_P",0.262,0.48
"81","CG_CN","YM7-2-F","YM7","YM","7",2,"F",6.273280144,60.65540695,0.437,"CG_P",0.26,0.475
"82","CG_CN","YM7-3-F","YM7","YM","7",3,"F",7.179917336,60.28163147,0.511,"CG_P",0.258,0.494
"83","CG_CN","NSP4-1-F","NSP4","NSP","4",1,"F",7.14577198,59.67128754,0.474,"CG_P",0.25,0.415
"84","CG_CN","NSP4-2-F","NSP4","NSP","4",2,"F",7.365236759,59.54388809,0.415,"CG_P",0.24,0.46
"85","CG_CN","NSP4-3-F","NSP4","NSP","4",3,"F",7.400210381,57.19358063,0.412,"CG_P",0.215,0.386
"86","CG_CN","NSP7-1-F","NSP7","NSP","7",1,"F",7.064302444,60.46323013,0.449,"CG_P",0.203,0.382
"87","CG_CN","NSP7-2-F","NSP7","NSP","7",2,"F",6.157045364,61.4249382,0.511,"CG_P",0.242,0.468
"88","CG_CN","NSP7-3-F","NSP7","NSP","7",3,"F",6.574140072,61.93004227,0.493,"CG_P",0.193,0.398
"89","CG_CN","NSP3-1-F","NSP3","NSP","3",1,"F",7.096158028,58.45895767,0.317,"CG_P",0.387,0.707
"90","CG_CN","NSP3-2-F","NSP3","NSP","3",2,"F",5.589482307,65.19766235,1.085,"CG_P",0.199,0.379
"91","CG_CN","NSP3-3-F","NSP3","NSP","3",3,"F",7.117656231,59.91790771,0.356,"CG_P",0.157,0.224
"92","CG_CN","NSP10-1-F","NSP10","NSP","10",1,"F",7.045760155,61.25644302,0.456,"CG_P",0.242,0.46
"93","CG_CN","NSP10-2-F","NSP10","NSP","10",2,"F",7.759836674,60.62561798,0.453,"CG_P",0.236,0.543
"94","CG_CN","NSP10-3-F","NSP10","NSP","10",3,"F",7.702740669,60.55884933,0.468,"CG_P",0.253,0.518
