,Site,Name,rep,CN_weight,Percent.N,Percent.C,Lon,Lat,P_weight,P
89,LVA,LV8,3,0.541000009,6.003565788,65.77919006,-79.181,37.4211,NA,NA
90,LVA,LVA11,1,0.564999998,10.13457775,55.79953003,-79.181,37.4211,0.511,0.353
91,LVA,LVA11,2,0.485000014,7.532615662,61.23602676,-79.181,37.4211,0.568,0.549
92,LVA,LVA11,3,0.675999999,9.724309921,56.08169937,-79.181,37.4211,0.672,0.556
93,LVA,LVA2,1,0.504000008,8.785595894,59.00908279,-79.181,37.4211,0.692,0.427
94,LVA,LVA2,2,0.628000021,8.764630318,58.64683151,-79.181,37.4211,0.551,0.768
95,LVA,LVA2,3,0.398999989,10.38999176,55.51888275,-79.181,37.4211,0.441,0.35
96,LVA,LVA3,1,0.518000007,9.389621735,55.81706238,-79.181,37.4211,0.368,0.288
97,LVA,LVA3,2,0.522000015,9.065710068,57.04894257,-79.181,37.4211,0.468,0.287
98,LVA,LVA3,3,0.49000001,9.448988914,55.7603569,-79.181,37.4211,NA,NA
99,LVA,LVA4,1,0.407999992,9.061667442,57.59062576,-79.181,37.4211,NA,NA
100,LVA,LVA4,2,0.389999986,8.61181736,57.16867447,-79.181,37.4211,NA,NA
101,LVA,LVA4,3,0.505999982,8.972106934,57.51485443,-79.181,37.4211,NA,NA
102,LVA,LVA7,1,0.518999994,9.903290749,55.54821396,-79.181,37.4211,NA,NA
103,LVA,LVA7,2,0.476999998,6.333536625,63.9560318,-79.181,37.4211,NA,NA
104,LVA,LVA7,3,0.521000028,9.170519829,57.96492004,-79.181,37.4211,NA,NA
105,LVA,LVA9,1,0.703000009,6.607567787,63.09200668,-79.181,37.4211,NA,NA
106,LVA,LVA9,2,0.505999982,5.889474869,64.92760468,-79.181,37.4211,NA,NA
107,LVA,LVA9,3,0.565999985,6.979053974,62.83543015,-79.181,37.4211,NA,NA
108,MB,MB06,1,0.381000012,6.283729076,62.41703033,-72.64,44.5,0.37,0.261
109,MB,MB06,2,0.412,4.92416811,63.25123215,-72.64,44.5,0.486,0.302
110,MB,MB06,3,0.351000011,5.856265068,61.95484543,-72.64,44.5,0.37,0.215
111,MB,MB1,1,0.524999976,7.436549187,60.35598755,-72.64,44.5,0.408,0.299
