Site,Name,rep,Analysis_Type,Weight_mg_CN,Percent-N,Percent-C,Long,Lat
UNF,UNF3-1,1,CN,0.488999993,8.038813591,59.1570549,-79.9745,35.3693
UNF,UNF3-2,2,CN,0.559000015,7.263091564,61.93978882,-79.9745,35.3693
UNF,UNF3-3,3,CN,0.460000008,7.354270458,60.70253754,-79.9745,35.3693
UNF,UNF4-1,1,CN,0.519999981,9.531561852,58.68821716,-79.9745,35.3693
UNF,UNF4-2,2,CN,0.574000001,4.914301395,68.02509308,-79.9745,35.3693
UNF,UNF6-1,1,CN,0.404000014,11.98163795,52.29030609,-79.9745,35.3693
UNF,UNF6-2,2,CN,0.42899999,9.202172279,56.99621964,-79.9745,35.3693
UNF,UNF6-3,3,CN,0.563000023,5.374641418,66.74061584,-79.9745,35.3693
UNF,UNF7-1,1,CN,0.437000006,9.740524292,55.96107483,-79.9745,35.3693
UNF,UNF7-2,2,CN,0.250999987,10.94986248,52.62049484,-79.9745,35.3693
UNF,UNF7-3,3,CN,0.232999995,9.941926956,52.12378311,-79.9745,35.3693
UNF,UNF8-1,1,CN,0.531000018,9.574964523,58.77968597,-79.9745,35.3693
UNF,UNF8-2,2,CN,0.573000014,5.019738197,67.56964111,-79.9745,35.3693
UNF,UNF8-3,3,CN,0.287999988,6.63564682,61.72743607,-79.9745,35.3693
WP,WP1-1,1,CN,0.370000005,9.821694374,55.25839233,-76.0737,39.7284
WP,WP11-1,1,CN,0.444000006,12.16139889,51.31427765,-76.0737,39.7284
WP,WP11-2,2,CN,0.514999986,9.936172485,55.37888718,-76.0737,39.7284
WP,WP11-3,3,CN,0.486999989,8.191859245,59.88581848,-76.0737,39.7284
WP,WP6-1,1,CN,0.423999995,9.926039696,55.21993256,-76.0737,39.7284
WP,WP6-2,2,CN,0.349000007,9.295512199,55.19683075,-76.0737,39.7284
WP,WP6-3,3,CN,0.523000002,11.81464863,51.98450089,-76.0737,39.7284
WP,WP8-1,1,CN,0.386999995,10.11979675,57.18434525,-76.0737,39.7284
WP,WP8-2,2,CN,0.374000013,12.51043797,52.49240112,-76.0737,39.7284
WP,WP8-3,3,CN,0.44600001,11.92461395,53.98878098,-76.0737,39.7284
WP,WP9-1,1,CN,0.453000009,10.35001373,54.58308029,-76.0737,39.7284
WP,WP9-2,2,CN,0.460999995,9.181080818,57.41587448,-76.0737,39.7284
WP,WP9-3,3,CN,0.493999988,9.891561508,56.12722397,-76.0737,39.7284
YM,YM01-1,1,CN,0.592999995,7.914554119,61.23656845,-78.6897,35.7214
YM,YM01-2,2,CN,0.456999987,9.374497414,57.83540726,-78.6897,35.7214
YM,YM02-1,1,CN,0.64200002,6.828670502,63.59321213,-78.6897,35.7214
YM,YM02-2,2,CN,0.56099999,6.216927528,64.47652435,-78.6897,35.7214
YM,YM03-1,1,CN,0.460000008,8.249097824,59.59472656,-78.6897,35.7214
