"","Site","Name","rep","CN_weight","Percent.N","Percent.C","Lon","Lat","P_weight","P","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10"
"27","Brad","Brad3",1,0.418000013,10.37378502,55.06241989,-68.5284,44.9341,0.433,0.373,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275,-0.0193726450134711,-0.0293915427863519,0.00170912769516608,-0.00120952767493618,-0.00521010141358026,0.000138265273739116,-3.78472161872913e-05,-0.000305703847155538,-0.0014107358986973,-0.000509326608008415
"28","Brad","Brad3",2,0.337000012,10.85506821,54.39360809,-68.5284,44.9341,NA,NA,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275,-0.0193726450134711,-0.0293915427863519,0.00170912769516608,-0.00120952767493618,-0.00521010141358026,0.000138265273739116,-3.78472161872913e-05,-0.000305703847155538,-0.0014107358986973,-0.000509326608008415
"29","Brad","Brad4",1,0.615999997,10.03223705,56.60829926,-68.5284,44.9341,0.518,0.416,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275,-0.0231677536568619,-0.0336337643670877,-0.00284107077271532,0.00167032437999554,-0.00170040016466517,6.63345016961327e-05,-2.57662342959208e-05,0.000315444009019813,0.00150585412746292,0.00014763962184431
"30","Brad","Brad4",2,0.545000017,10.68831348,55.06076431,-68.5284,44.9341,0.589,0.469,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275,-0.0231677536568619,-0.0336337643670877,-0.00284107077271532,0.00167032437999554,-0.00170040016466517,6.63345016961327e-05,-2.57662342959208e-05,0.000315444009019813,0.00150585412746292,0.00014763962184431
"31","Brad","Brad4",3,0.644999981,9.723344803,57.99232483,-68.5284,44.9341,0.592,0.458,60,118,29,9649,260,-141,401,16,-13,181,-70,1080,118,81,12,317,247,251,275,-0.0231677536568619,-0.0336337643670877,-0.00284107077271532,0.00167032437999554,-0.00170040016466517,6.63345016961327e-05,-2.57662342959208e-05,0.000315444009019813,0.00150585412746292,0.00014763962184431
"32","BRM","BRM2",1,0.35800001,9.395974159,54.50517654,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0255841364463378,-0.0364679488575901,-0.0058129160094095,0.00358665424419992,0.000547004593327275,2.12070355500997e-06,-6.10205616128468e-07,-0.00138467034101853,0.000238516932637431,-9.83651884410503e-05
"33","BRM","BRM2",2,0.388000011,9.695674896,56.60834503,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0255841364463378,-0.0364679488575901,-0.0058129160094095,0.00358665424419992,0.000547004593327275,2.12070355500997e-06,-6.10205616128468e-07,-0.00138467034101853,0.000238516932637431,-9.83651884410503e-05
"34","BRM","BRM3",1,0.446999997,10.37974739,54.08055115,-74.0261,41.4039,0.443,0.38,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0211004855243684,-0.0313485662583028,-0.000375636560958852,0.000116211188890391,-0.0036117597034614,0.000101998156257127,-2.73950996013408e-05,-0.00122879847080821,-0.000854861019029631,-0.000412061326477186
"35","BRM","BRM3",2,0.458000004,9.970912933,54.45859909,-74.0261,41.4039,0.393,0.338,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0211004855243684,-0.0313485662583028,-0.000375636560958852,0.000116211188890391,-0.0036117597034614,0.000101998156257127,-2.73950996013408e-05,-0.00122879847080821,-0.000854861019029631,-0.000412061326477186
"36","BRM","BRM3",3,0.432000011,9.781691551,55.60445786,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0211004855243684,-0.0313485662583028,-0.000375636560958852,0.000116211188890391,-0.0036117597034614,0.000101998156257127,-2.73950996013408e-05,-0.00122879847080821,-0.000854861019029631,-0.000412061326477186
"37","BRM","BRM4",1,0.537999988,10.34296608,55.91828156,-74.0261,41.4039,0.583,0.426,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.025525031035879,-0.0363976980360174,-0.00573884043185927,0.00353828488039315,0.000490473035967622,5.18948823416288e-06,-2.2246932788423e-06,-0.00128304858468106,0.000357705098344785,-8.00456962609482e-05
"38","BRM","BRM4",2,0.47299999,11.31535244,53.6738739,-74.0261,41.4039,0.423,0.39,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.025525031035879,-0.0363976980360174,-0.00573884043185927,0.00353828488039315,0.000490473035967622,5.18948823416288e-06,-2.2246932788423e-06,-0.00128304858468106,0.000357705098344785,-8.00456962609482e-05
"39","BRM","BRM4",3,0.578999996,9.743928909,56.27950668,-74.0261,41.4039,0.718,0.443,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.025525031035879,-0.0363976980360174,-0.00573884043185927,0.00353828488039315,0.000490473035967622,5.18948823416288e-06,-2.2246932788423e-06,-0.00128304858468106,0.000357705098344785,-8.00456962609482e-05
"40","BRM","BRM7",1,0.526000023,10.29907799,55.2557373,-74.0261,41.4039,NA,NA,88,107,29,8998,271,-90,361,134,-32,201,-32,1223,112,82,9,323,269,319,269,-0.0231622070283972,-0.0336917393659074,-0.00286663192683921,0.00170198743971442,-0.00170579113774365,5.99388080193308e-05,-1.69740294706048e-05,-0.00113312452219933,-0.000335669380885402,-0.000261746388755536
