colonyID2,ColonyID_sara,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10
YM3,YM3,-0.031865362,0.044175574,0.004011941,0.006881798,0.003702342,0.000988152,0.001686259,-1.70E-06,4.98E-05,-0.000442567
CGYM8,CGYM8,-0.033135557,0.045161217,0.003151803,0.00804471,0.005176352,0.00082377,6.40E-05,-1.97E-05,-0.000195482,0.001068321
LVA3,LVA3,-0.034324687,0.046172884,0.002367058,0.009248535,0.006656512,0.001983608,-0.000891558,-4.16E-06,-0.000124448,0.000933846
RC16,RC16,-0.035969455,0.047567387,0.001275123,0.010918131,0.008715229,0.003985061,-0.003951362,2.33E-05,4.01E-06,0.001021664
RC9,RC9,-0.034475243,0.046348637,0.002277527,0.009465255,0.006901589,0.003141786,-0.003042075,1.18E-05,6.90E-05,3.29E-05
RC6,RC6,-0.03313816,0.045239396,0.003168853,0.008143641,0.005261804,0.002158471,-0.001890278,3.82E-07,0.000109009,-0.000784765
CGNSP15,CGNSP15-3,-0.035462868,0.047205697,0.00162935,0.010488161,0.008151602,0.004789007,-0.006041858,3.54E-05,0.000435963,-0.00241009
CGNSP7,CGNSP7,-0.034897654,0.046743478,0.002007771,0.009937827,0.007465529,0.004412265,-0.005505939,2.98E-05,0.000403146,-0.00227971
LVA2,LVA2,-0.034451637,0.046373771,0.002305241,0.009497102,0.006918521,0.004023166,-0.004913014,2.43E-05,0.00035952,-0.002070149
LVA4,LVA4,-0.036240412,0.047849483,0.001109753,0.011257233,0.009107044,0.005548954,-0.007338433,4.82E-05,0.000566961,-0.003156202
LVA8,LVA8,-0.03410374,0.046101841,0.002539932,0.009176873,0.006513911,0.004092118,-0.005194277,2.59E-05,0.0004131,-0.002440803
CGNSP8,CGNSP8,-0.020605892,-0.003543158,0.027074671,-0.057893536,0.029451139,0.000215698,-6.78E-05,-0.000130838,-0.000312489,-0.000653526
CGNSP14,CGNSP14,-0.02382204,-0.004386924,0.025670034,-0.061236819,0.035817491,0.000109631,-2.81E-05,-5.46E-05,-0.000142876,-0.00030354
NSP2,NSP2,-0.030777743,-0.006213436,0.022628898,-0.068529721,0.049688212,-0.000153224,7.66E-05,0.000152618,0.000343239,0.000723286
APB4,APB4,-0.100972875,-0.032244559,0.148941899,0.002489334,-0.056170883,8.66E-05,-1.17E-05,-1.78E-05,-4.38E-05,-8.46E-05
RC2,RC2,0.301539386,0.00471321,0.004909212,-0.00160221,-0.003858531,5.69E-05,-1.94E-05,-3.68E-05,-8.24E-05,-0.000170911
NSP11,NSP11,0.304834018,0.004716051,0.004545908,-0.001320343,-0.003589061,4.50E-05,-1.49E-05,-2.82E-05,-6.36E-05,-0.000132415
LVA11,LVA11,0.310251294,0.004712974,0.003926499,-0.000854442,-0.003118369,3.24E-05,-1.20E-05,-2.46E-05,-6.50E-05,-0.000147634
UNF7,UNF7,0.312275813,0.004718728,0.003713494,-0.000681025,-0.002965361,1.98E-05,-6.10E-06,-1.19E-05,-3.09E-05,-6.98E-05
WP1,WP1r,0.321924598,0.004710986,0.002602978,0.000150509,-0.002117665,1.54E-06,-4.61E-06,-1.58E-05,-7.82E-05,-0.00022235
BARD5,Bard5,0.32593979,0.004720636,0.002169257,0.000503108,-0.001798771,-3.82E-05,1.79E-05,3.82E-05,0.000104973,0.000246286
CGNSP10,CGNSP10-3,0.331339004,0.004719758,0.001552819,0.000973564,-0.00132961,-6.29E-05,2.86E-05,6.11E-05,0.000172019,0.000408279
