"","colonyID2","CN.colony.mass","N.percent.colony","C.percent.colony","P.ave.colony","P.mass.colony","lat","MAP","DRT","APS","MAT","colonyID","P.ave.percent.colony","ColonyID_sara","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Comp.1","Comp.2","Comp.3"
"29","LVA2",0.510333339,9.313405991,57.72493235,-2.029260821,0.561333333,37.4211,1073,128,10,13.2,"LVA2",0.934844073,"LVA2",-0.034451637,0.046373771,0.002305241,0.009497102,0.006918521,0.004023166,-0.004913014,2.43e-05,0.00035952,-0.002070149,-1.10320628193353,-0.86857128870764,-0.866603056899221
"30","LVA3",0.510000011,9.301440239,56.20878728,-2.156189204,0.418,37.4211,1073,128,10,13.2,"LVA3",0.697928279,"LVA3",-0.034324687,0.046172884,0.002367058,0.009248535,0.006656512,0.001983608,-0.000891558,-4.16e-06,-0.000124448,0.000933846,-1.10320628193353,-0.86857128870764,-0.866603056899221
"31","LVA4",0.434666653,8.881863912,57.42471822,NA,NA,37.4211,1073,128,10,13.2,NA,NA,"LVA4",-0.036240412,0.047849483,0.001109753,0.011257233,0.009107044,0.005548954,-0.007338433,4.82e-05,0.000566961,-0.003156202,-1.10320628193353,-0.86857128870764,-0.866603056899221
"32","MB1",0.474999994,7.077943484,61.11829504,-2.143660205,0.471,44.5,1101,112,18,4.7,"MB1",0.718356119,"MB1",-0.024542383,-0.035305764,-0.004563155,0.002795534,-0.000419852,2.62e-05,-9.72e-06,0.000641704,-0.000295303,-0.000129219,2.61890761911682,-0.542112398471358,1.00048193285808
"33","NOCK6",0.476500005,9.794704436,55.81221581,-2.10159708,0.505,40.4691,1159,115,12,10.6,"NOCK6",0.791412526,"Nock6r",-0.027219654,-0.038722655,-0.007994741,0.005074739,0.002066225,-4.85e-05,2.2e-05,-0.001181437,0.000782225,0.000242337,0.112508424205502,0.168286197003904,0.729090883441839
"34","NOTCH1",0.737500012,10.64144612,54.78035736,-2.057930218,0.59,42.4983,1208,112,9,6.4,"NOTCH1",0.875124378,"Notch1",-0.026590554,-0.037632303,-0.007042567,0.004375764,0.001482999,-2.16e-05,5.94e-06,-0.001647267,0.000577723,-3.88e-05,0.336854120061434,1.97498617935718,0.170999933861013
"35","NOTCH3",0.537000001,10.60381222,54.04296875,-2.052247498,0.638,42.4983,1208,112,9,6.4,"NOTCH3",0.886650578,"Notch3r",-0.0248918,-0.035710574,-0.004988103,0.003067296,-9.84e-05,1.92e-05,-5.68e-06,-0.001619486,0.000806469,8.76e-06,0.336854120061434,1.97498617935718,0.170999933861013
"36","NOTCH4",0.538666675,10.4079539,55.12365977,-2.049904196,0.598,42.4983,1208,112,9,6.4,"NOTCH4",0.891447568,"Notch4",-0.027022512,-0.038348248,-0.007674681,0.004831725,0.001874884,-2.58e-05,-6.88e-06,0.009159165,-0.00150968,-6.53e-06,0.336854120061434,1.97498617935718,0.170999933861013
"37","NSP11",0.532666663,10.87031046,54.76773834,-2.05227754,0.541666667,40.08038,1142,114,13,11.8,"NSP11",0.886589247,"NSP11",0.304834018,0.004716051,0.004545908,-0.001320343,-0.003589061,4.5e-05,-1.49e-05,-2.82e-05,-6.36e-05,-0.000132415,0.22089087338231,-0.282722585377335,1.0550791811159
"38","NSP2",0.544749998,9.609871388,56.05818081,-2.032075817,0.534,40.08038,1142,114,13,11.8,"NSP2",0.928804227,"NSP2",-0.030777743,-0.006213436,0.022628898,-0.068529721,0.049688212,-0.000153224,7.66e-05,0.000152618,0.000343239,0.000723286,0.22089087338231,-0.282722585377335,1.0550791811159
"39","NSP3",0.537499979,10.42155504,56.0512085,-2.083858644,0.616666667,40.08038,1142,114,13,11.8,"NSP3",0.824406403,"NSP3",-0.033331443,0.044882368,0.002896328,0.007716735,0.004995237,-0.000814789,0.00057814,-0.000126927,-0.001208903,0.006104459,0.22089087338231,-0.282722585377335,1.0550791811159
"40","RC15",0.421666662,8.271213214,61.1264089,NA,NA,36.0364,1158,132,11,14.4,NA,NA,"RC15",-0.031680352,0.04377668,0.004069284,0.006400389,0.003228688,-0.002032273,0.000143542,-6.65e-05,-0.000538799,0.002608805,-1.93159392104976,-1.20586198007033,-0.409816745547364
